web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628607-235,""https://www.autolina.ch/carList/page/45?region=ZH"",""MERCEDES-BENZ"",""2021"",""20'628"",""163"",""8604 Hegnau-Volketswil / ZH"",""39'980"",""GLA 200 4Matic Style 8G-DCT"",""Automat"",""Benzin"""
"1671628607-236,""https://www.autolina.ch/carList/page/45?region=ZH"",""SKODA"",""2019"",""32'144"",""239"",""8604 Hegnau-Volketswil / ZH"",""41'980"",""KODIAQ 2.0 TDI SCR RS 4x4 DSG"",""Automat"",""Diesel"""
"1671628607-237,""https://www.autolina.ch/carList/page/45?region=ZH"",""FORD"",""2019"",""18'815"",""238"",""8604 Hegnau-Volketswil / ZH"",""38'900"",""EDGE 2.0 EcoBlue Vignale 4WD Automatic"",""Automat"",""Diesel"""
"1671628607-238,""https://www.autolina.ch/carList/page/45?region=ZH"",""JAGUAR"",""2020"",""26'700"",""550"",""8408 Winterthur-Wülflingen / ZH"",""88'895"",""F-Pace 5.0 V8 SVR AWD Automatik"",""Automat"",""Benzin"""
"1671628607-239,""https://www.autolina.ch/carList/page/45?region=ZH"",""MERCEDES-BENZ"",""2017"",""139'100"",""204"",""8413 WINTERTHUR - NEFTENBACH / ZH"",""23'900"",""C 250 d 4Matic 9G-Tronic"",""Automat"",""Diesel"""
"1671628607-240,""https://www.autolina.ch/carList/page/45?region=ZH"",""VW"",""null"",""10"",""207"",""8413 WINTERTHUR - NEFTENBACH / ZH"",""38'960"",""Polo 2.0 TSI GTI DSG"",""Automat"",""Benzin"""
"1671628610-241,""https://www.autolina.ch/carList/page/44?region=ZH"",""MERCEDES-BENZ"",""2015"",""94'500"",""184"",""8184 Bachenbülach / ZH"",""21'400"",""E 200 Avantgarde"",""Automat"",""Benzin"""
"1671628610-242,""https://www.autolina.ch/carList/page/44?region=ZH"",""BMW"",""2020"",""67'500"",""184"",""8184 Bachenbülach / ZH"",""47'300"",""330e xDrive Limousine M Sport"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628610-243,""https://www.autolina.ch/carList/page/44?region=ZH"",""PEUGEOT"",""2021"",""20'000"",""177"",""8340 Hinwil / ZH"",""56'000"",""5008 2.0 HDi 180PS GT Pack"",""Automat"",""Diesel"""
"1671628610-244,""https://www.autolina.ch/carList/page/44?region=ZH"",""FIAT"",""2014"",""62'500"",""163"",""8340 Hinwil / ZH"",""21'400"",""Scudo Panorama 3122 2.0 MJ 165 Executive"",""Handschaltung"",""Diesel"""
"1671628610-245,""https://www.autolina.ch/carList/page/44?region=ZH"",""AUDI"",""2021"",""18'000"",""265"",""8634 Hombrechtikon / ZH"",""72'800"",""Q5 SB 45 TFSI Black Edition"",""Automat"",""Benzin"""
"1671628610-246,""https://www.autolina.ch/carList/page/44?region=ZH"",""SKODA"",""2021"",""23'050"",""150"",""8051 Zürich / ZH"",""39'900"",""KAROQ SportLine"",""Automat"",""Diesel"""
"1671628610-247,""https://www.autolina.ch/carList/page/44?region=ZH"",""AUDI"",""2021"",""22'650"",""150"",""8051 Zürich / ZH"",""37'900"",""Q2 35 TDI S line"",""Automat"",""Diesel"""
"1671628610-248,""https://www.autolina.ch/carList/page/44?region=ZH"",""VW"",""2021"",""47'000"",""110"",""8051 Zürich / ZH"",""24'490"",""T-Cross Life"",""Automat"",""Benzin"""
"1671628610-249,""https://www.autolina.ch/carList/page/44?region=ZH"",""VW"",""2021"",""49'750"",""150"",""8051 Zürich / ZH"",""35'900"",""Sharan Highline"",""Automat"",""Benzin"""
"1671628610-250,""https://www.autolina.ch/carList/page/44?region=ZH"",""VW"",""2021"",""8'000"",""110"",""8620 Wetzikon / ZH"",""25'800"",""Polo 1.0 TSI Style DSG - Facelift - IQ Light - Digital Cockp"",""Automat"",""Benzin"""
"1671628610-251,""https://www.autolina.ch/carList/page/44?region=ZH"",""VW"",""2021"",""35'900"",""200"",""8620 Wetzikon / ZH"",""39'800"",""Passat 2.0 TDI BMT Elegance 4Motion DSG - R-Line - Digital C"",""Automat"",""Diesel"""
"1671628610-252,""https://www.autolina.ch/carList/page/44?region=ZH"",""BMW"",""2021"",""21'800"",""190"",""8620 Wetzikon / ZH"",""42'800"",""220d Gran Coupé M Sport Steptronic - Navigation - LED - Kame"",""Automat"",""Diesel"""
"1671628610-253,""https://www.autolina.ch/carList/page/44?region=ZH"",""BMW"",""2020"",""74'900"",""326"",""8620 Wetzikon / ZH"",""59'800"",""X3 M40d Steptronic - Panorama - Standheizung - AHK - 326 PS"",""Automat"",""Diesel"""
"1671628610-254,""https://www.autolina.ch/carList/page/44?region=ZH"",""BMW"",""2021"",""2'200"",""306"",""8004 Zürich / ZH"",""49'900"",""X2 M35i Steptronic"",""Automat"",""Benzin"""
"1671628610-255,""https://www.autolina.ch/carList/page/44?region=ZH"",""BMW"",""2021"",""15'000"",""374"",""8004 Zürich / ZH"",""69'900"",""M440i 48V Coupé Steptronic"",""Automat"",""Mild-Hybrid Benzin/Elektro"""
"1671628613-256,""https://www.autolina.ch/carList/page/43?region=ZH"",""MINI"",""null"",""10"",""306"",""8706 Meilen / ZH"",""64'900"",""Countryman John Cooper Works ALL4 Steptronic"",""Automat"",""Benzin"""
"1671628613-257,""https://www.autolina.ch/carList/page/43?region=ZH"",""MINI"",""null"",""10"",""306"",""8706 Meilen / ZH"",""64'900"",""Countryman John Cooper Works ALL4 Steptronic"",""Automat"",""Benzin"""
"1671628613-258,""https://www.autolina.ch/carList/page/43?region=ZH"",""MINI"",""null"",""10"",""178"",""8706 Meilen / ZH"",""52'900"",""Countryman Cooper S Untamed Edition ALL4 Steptronic"",""Automat"",""Benzin"""
"1671628613-259,""https://www.autolina.ch/carList/page/43?region=ZH"",""MINI"",""2022"",""3'000"",""306"",""8706 Meilen / ZH"",""57'900"",""Clubman Cooper John Cooper Works ALL4 Steptronic"",""Automat"",""Benzin"""
"1671628613-260,""https://www.autolina.ch/carList/page/43?region=ZH"",""MINI"",""2022"",""2'500"",""178"",""8706 Meilen / ZH"",""44'900"",""Cooper S Cabriolet Sidewalk Edition DKG"",""Automat"",""Benzin"""
"1671628613-261,""https://www.autolina.ch/carList/page/43?region=ZH"",""MERCEDES-BENZ"",""2017"",""70'500"",""340"",""8302 Kloten / ZH"",""79'400"",""S 400 d L 4Matic"",""Automat"",""Diesel"""
"1671628613-262,""https://www.autolina.ch/carList/page/43?region=ZH"",""CHEVROLET"",""2016"",""19'900"",""466"",""8906 Bonstetten / ZH"",""75'900"",""Corvette C7 GT4"",""Handschaltung"",""Benzin"""
"1671628613-263,""https://www.autolina.ch/carList/page/43?region=ZH"",""JEEP"",""2019"",""52'000"",""250"",""8600 Dübendorf / ZH"",""44'800"",""Grand Cherokee 3.0 CRD 250 Overland"",""Automat"",""Diesel"""
"1671628613-264,""https://www.autolina.ch/carList/page/43?region=ZH"",""PEUGEOT"",""2021"",""10'000"",""155"",""8600 Dübendorf / ZH"",""34'900"",""2008 1.2 PureTech 155 GT Pack"",""Automat"",""Benzin"""
"1671628613-265,""https://www.autolina.ch/carList/page/43?region=ZH"",""JEEP"",""2022"",""12'000"",""190"",""8117 Fällanden / ZH"",""49'900"",""Compass 1.3 Limited 4xe"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628613-266,""https://www.autolina.ch/carList/page/43?region=ZH"",""JEEP"",""null"",""0"",""272"",""8117 Fällanden / ZH"",""89'800"",""Wrangler 2.0 Turbo Rubicon Unlimited"",""Automat"",""Benzin"""
